dataset,chromosomes,start_position,end_position,score,dataset_strand,product,phase,time_after_exposure,sample_strand,replicate,xr_ds,windows
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.14163191593086,-100
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.40788401529069,-100
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.11848012204819,-100
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.37143692966585,-100
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.13985614764589,-91
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.40767297086322,-91
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.11786993416562,-91
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.36725622256739,-91
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,2.14645845199403,-1
TSS,.,0,100,0,NTS,CPD,early,12,.,_,3.19189985249949,-1
TSS,.,0,100,0,TS,64_PP,early,12,.,_,2.06267323792989,-1
TSS,.,0,100,0,TS,CPD,early,12,.,_,3.36791674910138,-1
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,2.25066858976454,0
TSS,.,0,100,0,NTS,CPD,early,12,.,_,3.08232068380335,0
TSS,.,0,100,0,TS,64_PP,early,12,.,_,2.49908710919441,0
TSS,.,0,100,0,TS,CPD,early,12,.,_,3.66634301140486,0
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,2.88892553480489,1
TSS,.,0,100,0,NTS,CPD,early,12,.,_,4.33357236313993,1
TSS,.,0,100,0,TS,64_PP,early,12,.,_,2.83762586239519,1
TSS,.,0,100,0,TS,CPD,early,12,.,_,4.11877357554149,1
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,2.45751107742823,2
TSS,.,0,100,0,NTS,CPD,early,12,.,_,3.2862603273878,2
TSS,.,0,100,0,TS,64_PP,early,12,.,_,2.54908877609429,2
TSS,.,0,100,0,TS,CPD,early,12,.,_,3.340869304505,2
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,2.44211560439324,3
TSS,.,0,100,0,NTS,CPD,early,12,.,_,3.56176699852575,3
TSS,.,0,100,0,TS,64_PP,early,12,.,_,2.38729831167203,3
TSS,.,0,100,0,TS,CPD,early,12,.,_,3.07625884505757,3
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,2.20435890338292,4
TSS,.,0,100,0,NTS,CPD,early,12,.,_,3.40071426823271,4
TSS,.,0,100,0,TS,64_PP,early,12,.,_,2.13930914756446,4
TSS,.,0,100,0,TS,CPD,early,12,.,_,2.91166093980146,4
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,2.14550547910766,5
TSS,.,0,100,0,NTS,CPD,early,12,.,_,3.40406463727387,5
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.93122312583549,5
TSS,.,0,100,0,TS,CPD,early,12,.,_,2.85532203094918,5
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.97175384474907,6
TSS,.,0,100,0,NTS,CPD,early,12,.,_,3.2254042070725,6
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.8274347496134,6
TSS,.,0,100,0,TS,CPD,early,12,.,_,2.72444404427298,6
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.90682195187069,7
TSS,.,0,100,0,NTS,CPD,early,12,.,_,3.17824747362145,7
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.7226199500433,7
TSS,.,0,100,0,TS,CPD,early,12,.,_,2.65130167365055,7
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.81495988534923,8
TSS,.,0,100,0,NTS,CPD,early,12,.,_,2.97365217335345,8
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.65906964242159,8
TSS,.,0,100,0,TS,CPD,early,12,.,_,2.63407921155041,8
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.12321895412745,-90
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.34801947424312,-90
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.13011055507229,-90
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.35877523150371,-90
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.70763097928447,9
TSS,.,0,100,0,NTS,CPD,early,12,.,_,2.89916306263618,9
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.54464929423964,9
TSS,.,0,100,0,TS,CPD,early,12,.,_,2.5025737352621,9
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.65836373254138,10
TSS,.,0,100,0,NTS,CPD,early,12,.,_,2.74563673060642,10
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.56880805225026,10
TSS,.,0,100,0,TS,CPD,early,12,.,_,2.39811713547286,10
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.61570785536801,11
TSS,.,0,100,0,NTS,CPD,early,12,.,_,2.53972337117486,11
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.40283396616057,11
TSS,.,0,100,0,TS,CPD,early,12,.,_,2.25632369585616,11
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.56155644033349,12
TSS,.,0,100,0,NTS,CPD,early,12,.,_,2.53755872784011,12
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.42878776745578,12
TSS,.,0,100,0,TS,CPD,early,12,.,_,2.26640997899465,12
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.56501277636454,13
TSS,.,0,100,0,NTS,CPD,early,12,.,_,2.29401353567578,13
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.40149624264817,13
TSS,.,0,100,0,TS,CPD,early,12,.,_,2.15917866793963,13
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.5033335454603,14
TSS,.,0,100,0,NTS,CPD,early,12,.,_,2.2834515353658,14
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.35179785152705,14
TSS,.,0,100,0,TS,CPD,early,12,.,_,2.09206329649719,14
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.48026485673403,15
TSS,.,0,100,0,NTS,CPD,early,12,.,_,2.21975447571144,15
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.3268276847811,15
TSS,.,0,100,0,TS,CPD,early,12,.,_,2.05164946029316,15
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.39154257307625,16
TSS,.,0,100,0,NTS,CPD,early,12,.,_,2.14296932937313,16
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.31286461111348,16
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.93960731056333,16
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.38512731442526,17
TSS,.,0,100,0,NTS,CPD,early,12,.,_,2.04194831503826,17
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.30125801181048,17
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.90748421156835,17
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.41746931766668,18
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.99716768386548,18
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.27593810542688,18
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.85993875989114,18
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.13599263692345,-89
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.39564712446771,-89
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.13194289904187,-89
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.37811559042375,-89
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.39415036144263,19
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.947971147551,19
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.25622722902611,19
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.88565065487643,19
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.36992664835527,20
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.9534732276056,20
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.28255317070177,20
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.84467612255975,20
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.34098025504936,21
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.92111673173105,21
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.25707967888476,21
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.77255374708283,21
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.30949223991495,22
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.78985467046894,22
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.21814341592117,22
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.78968246366129,22
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.34356648152522,23
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.81904792882675,23
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.28603835592719,23
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.70005030660427,23
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.36076108821288,24
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.80043518190595,24
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.24471721977438,24
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.76728016024551,24
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.33115830006974,25
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.78530349840221,25
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.26181472640417,25
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.71174693900911,25
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.32732713710149,26
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.84899022838804,26
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.22918890929576,26
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.70947535917936,26
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.31893452119293,27
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.77360678448831,27
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.21089610838541,27
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.64985223824078,27
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.30901339062531,28
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.71270649586416,28
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.23028014298531,28
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.64590932939564,28
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.14214119506909,-88
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.4284363176429,-88
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.16258943689178,-88
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.34512644540769,-88
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.27955560746205,29
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.70083160196095,29
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.20503284381867,29
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.63261149673937,29
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.3083624751564,30
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.7111382813516,30
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.21557776358281,30
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.65759010193409,30
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.24958002297663,31
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.63962899405813,31
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.19792997558894,31
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.58058624459109,31
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.25567348129108,32
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.66440023037322,32
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.16890663931057,32
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.65991404992195,32
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.28208866205358,33
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.64480762957386,33
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.18085708374796,33
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.63846878325915,33
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.31783156991746,34
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.72604447394935,34
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.20291342321113,34
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.64299007987467,34
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.26847510949227,35
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.65775354150544,35
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.18245700833422,35
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.59646841645208,35
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.24780535223988,36
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.64089267368393,36
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.21030885315111,36
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.58626401559147,36
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.24316127621139,37
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.62632050148023,37
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.19570765742763,37
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.5732312380261,37
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.26626365389411,38
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.63367596133107,38
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.22391259462303,38
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.60502097381683,38
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.1470277115841,-87
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.3824089936621,-87
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.14528208936352,-87
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.38657863371636,-87
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.26523487500844,39
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.62419841899237,39
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.20353707238533,39
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.57113965987969,39
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.26439317704207,40
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.56276330526143,40
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.1657761918013,40
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.50263733957154,40
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.21273359305,41
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.51607269938946,41
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.1754069400106,41
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.59029687355305,41
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.22640963694719,42
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.59136262765962,42
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.23325431677679,42
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.57247810687818,42
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.23860546201034,43
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.56718126862752,43
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.19095938540089,43
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.53246808416032,43
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.23511843468871,44
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.59050269726024,44
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.18571862015963,44
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.5494733531651,44
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.252134982085,45
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.54929662699134,45
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.18952879567403,45
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.55124427814302,45
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.24449420574971,46
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.58371474459791,46
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.18328439088816,46
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.51372060930085,46
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.24467680817902,47
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.56560040958018,47
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.1991860402352,47
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.58108859745469,47
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.25891330313615,48
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.57663600452524,48
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.15009156469478,48
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.54412674919394,48
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.14354863673083,-86
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.40255080138864,-86
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.12203922265101,-86
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.37438682158433,-86
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.24555807694159,49
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.51907343824793,49
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.20702557821627,49
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.50602535222203,49
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.2674225611652,50
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.54064330792099,50
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.21891117348799,50
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.54266150776762,50
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.22223959951799,51
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.52052689218726,51
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.15299132817005,51
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.50041219666229,51
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.25620124584707,52
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.52209313778704,52
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.21710529989905,52
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.49452014632829,52
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.22198774093639,53
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.59695944815549,53
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.1818155037911,53
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.53523410301725,53
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.23545494921525,54
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.55821399853813,54
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.20409789712931,54
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.53793109125427,54
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.23189339915482,55
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.52735867592504,55
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.17468638811956,55
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.51458188162552,55
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.21644037239506,56
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.52517691706935,56
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.16443057281253,56
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.49070408305906,56
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.2586503905613,57
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.4944988452247,57
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.18304892172697,57
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.54435737311051,57
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.2388302994529,58
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.52573919284449,58
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.14868604474645,58
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.42085371655737,58
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.16566796362897,-85
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.40154834789564,-85
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.16371839261201,-85
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.41451156238117,-85
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.24594371585791,59
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.4711917243239,59
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.18114504024194,59
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.53586086708414,59
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.24732890091759,60
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.49695803614599,60
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.17654630373149,60
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.48715455757218,60
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.21788681656502,61
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.48314553491189,61
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.17956420156233,61
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.52073842233701,61
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.24094150339202,62
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.52694566982787,62
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.18803224539656,62
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.48957014831589,62
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.21050069313429,63
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.49159012235307,63
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.16261901404404,63
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.49406209386396,63
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.23158232315795,64
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.5296317766859,64
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.17411903789904,64
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.4912320811682,64
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.22214201951282,65
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.51108584042823,65
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.20255119004421,65
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.54105241805523,65
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.19207784202066,66
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.53810541628665,66
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.17626069455065,66
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.4884678983224,66
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.24908955691436,67
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.48003188040315,67
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.1511173723116,67
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.45878914628104,67
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.20027127515282,68
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.45561042620476,68
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.15728255082707,68
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.48692211886863,68
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.14068914021482,-84
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.36565059343224,-84
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.13109419047747,-84
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.40501358757839,-84
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.20967143308134,69
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.48953073696297,69
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.1500277739673,69
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.47059435099919,69
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.22630616171211,70
