dataset,chromosomes,start_position,end_position,score,dataset_strand,product,phase,time_after_exposure,sample_strand,replicate,xr_ds,windows,sample
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.27971773839569,-100,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.15712404188416,-100,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.30945439084091,-91,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.19212857727822,-91,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,2.33244725031604,-1,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,2.5018283825083,-1,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,2.44585729105173,0,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,2.86242322731259,0,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,2.96055772480787,1,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,3.13169454972012,1,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,2.65042887181255,2,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,2.8166106349934,2,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,2.65246937259913,3,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,2.57963207844071,3,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,2.59120572438908,4,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,2.46988274158755,4,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,2.45737126461293,5,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,2.38639817021183,5,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,2.37884471909191,6,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,2.34498459975114,6,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,2.30856456202403,7,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,2.27732931501293,7,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,2.24035742607164,8,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,2.26854056213992,8,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.25122572195442,-90,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.17879075104815,-90,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,2.13328343511444,9,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,2.22933125491848,9,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,2.01576629309576,10,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,2.14411678982179,10,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.99973668777376,11,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,2.09331167518723,11,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.93308741456519,12,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,2.02543171259393,12,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.84794726386739,13,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,2.01040176513116,13,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.75492342301892,14,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.99440251270541,14,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.70229432553907,15,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.93570608053054,15,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.685981804204,16,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.87806704494861,16,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.63582863553384,17,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.90540278145852,17,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.56687950642606,18,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.84795854011948,18,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.25496974912474,-89,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.17314409632447,-89,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.5570740860734,19,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.84504996468123,19,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.53192034181655,20,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.871744714702,20,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.49525006015088,21,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.80122432974009,21,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.47028478562327,22,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.85306606548548,22,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.50668612173532,23,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.83953452441294,23,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.48124846756521,24,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.78520585411211,24,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.42244717569304,25,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.7295605262648,25,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.42799532314946,26,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.75133930390318,26,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.41639333260326,27,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.73402429313401,27,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.40566900486832,28,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.74596244228868,28,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.25874666832587,-88,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.1840613688846,-88,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.38616907846486,29,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.7584653494085,29,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.40522461138538,30,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.6981411475562,30,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.37412241457833,31,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.72138763284582,31,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.39063562029496,32,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.71957430049062,32,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.35894217265156,33,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.72336115245864,33,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.40080085051512,34,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.73937966231754,34,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.35642291432212,35,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.703988852486,35,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.32282252485274,36,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.69797131240113,36,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.31602241580726,37,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.69665140719734,37,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.32081537949966,38,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.68256086422067,38,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.27805902148051,-87,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.2246609691162,-87,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.33184625753244,39,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.67069825742048,39,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.31377525995235,40,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.68515952841675,40,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.30589328174136,41,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.66039968035152,41,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.2974115850532,42,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.68129074225529,42,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.30237930908063,43,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.66862196923109,43,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.31600009577782,44,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.60141931494295,44,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.30718148116192,45,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.67968160813094,45,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.34057577500088,46,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.64230344841987,46,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.31041847526365,47,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.69310659478105,47,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.32392739669824,48,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.63385430798424,48,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.26546613320523,-86,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.17322654945475,-86,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.29480878083513,49,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.62582340868697,49,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.292227418762,50,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.6637131777271,50,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.31261883432973,51,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.64652367739797,51,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.27004680752999,52,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.64393375066699,52,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.28388559872047,53,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.63633099612705,53,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.29776355805291,54,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.64905957855825,54,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.29096258062859,55,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.65851855385118,55,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.26620430273089,56,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.61649272947929,56,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.27740509225938,57,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.63283306604096,57,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.2707146563803,58,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.63368049642335,58,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.23890224253728,-85,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.20988486578827,-85,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.29005358102668,59,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.61815945895421,59,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.28177808355658,60,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.62235462342366,60,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.26111248126633,61,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.62871271907165,61,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.27023467013046,62,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.66236870349407,62,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.23850322585263,63,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.61174667806181,63,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.26292449752719,64,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.63238771315715,64,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.2912410602079,65,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.61247979003727,65,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.28115544150849,66,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.61323564808319,66,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.26118231841378,67,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.64272463692382,67,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.25457600740342,68,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.60592814977424,68,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.2608009838784,-84,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.19508456655604,-84,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.27171891420902,69,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.60684405969958,69,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.28228680221696,70,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.58227243759817,70,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.27775524111518,71,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.61476463879438,71,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.23824027253537,72,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.59180631452207,72,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.25221761520226,73,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.62453684721492,73,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.24220888607809,74,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.57990740205319,74,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.24883112726685,75,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.57276975075421,75,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.24695799732938,76,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.56099235461082,76,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.25603481301898,77,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.58039332727255,77,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.21365884384311,78,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.61226284173562,78,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.30764215660766,-83,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.20062675747568,-83,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.25599912412203,79,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.58351314554574,79,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.24111414343497,80,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.56253840176028,80,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.23833583232433,81,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.58351489308735,81,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.2178973169584,82,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.52005242430299,82,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.23511596324482,83,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.56049375993606,83,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.24146395391778,84,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.58906448005224,84,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.24538112860075,85,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.53797420444879,85,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.22450550992643,86,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.53637466510875,86,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.23426804601727,87,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.56838470721108,87,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.26405889581676,88,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.55261073125374,88,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.27155089404626,-82,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.19129408714517,-82,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.23757963456431,89,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.54879112423861,89,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.24382303111171,90,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.58022577556996,90,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.24477635818546,91,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.58341351490176,91,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.23341090575008,92,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.5744941430091,92,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.228104310241,93,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.53875815506697,93,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.24593432279339,94,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.55507197044722,94,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.23635853474479,95,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.51901428255921,95,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.26051250356833,96,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.55150020668518,96,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.24734633831281,97,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.58040109131178,97,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.22025187919515,98,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.56471707680133,98,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.29030879243615,-99,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.19900817148674,-99,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.25572173250339,-81,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.17988659985382,-81,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.22199126829615,99,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.53261435259062,99,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.22767942428716,100,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.55786129727666,100,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.27204397930729,-80,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.20275921488771,-80,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.26500514484113,-79,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.19962350907581,-79,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.25651133066351,-78,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.17910956475409,-78,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.26655772966863,-77,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.18539113959332,-77,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.2802379908151,-76,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.17459400814154,-76,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.27256877449684,-75,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.18617738004726,-75,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.28039023770132,-74,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.19626328342409,-74,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.28491604465333,-73,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.17111705849846,-73,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.28563620388319,-72,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.17857392135827,-72,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.24511529616955,-98,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.20956821597349,-98,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.27760515167179,-71,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.16807206956181,-71,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.31078659224103,-70,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.18020763453323,-70,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.26597164602108,-69,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.22036653032373,-69,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.27835097959512,-68,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.18315036639688,-68,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.32647805972937,-67,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.22716713052935,-67,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.26848202016982,-66,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.18797104332245,-66,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.27816650970011,-65,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.20724734007102,-65,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.27682291202097,-64,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.20320493028604,-64,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.28791520528696,-63,CPD 120 min.
